texto,sentimento
super recomendado muito obrigado,positivo
produto muito bonito leve e entregue antes do prazo,positivo
muito bom o produto só acredito que como defesa não é eficaz mas vale a pena ter,positivo
recebi o produto correto porém é muito fraco e começou a rachar já na montagem,negativo
todas as etapas de entrega tiveram um problema o objeto chegou com atraso em tudo e até agora consta que não chegou à unidade do rio de janeiro sendo que era pra eu ter recebido o produto no dia,negativo
produto dentro das especificações,positivo
adoro comprar na lannister entrega super rápida recomendo,positivo
apesar do produto ter sido entregue dentro do prazo solicitado o prazo de entrega é muito longo e a entrega demorada para se ter ideia o mercado livre entrega mas rapido,negativo
produtos de ótima qualidade entregues no prazo satisfeito,positivo
boa mala pequena mas bem dividida,positivo
o produto demorou bastante para chegar e recebi email avisando q estavam com dificuldade na entrega acredito q foi por conta dos correios e nào da loja mas foi no prazo,neutro
chegou antes do previsto,positivo
qualidade e confiança no atendimento do stark,positivo
eu recomendo lojas lannister,positivo
além do produto chegar errado a devolução é feita pelo cliente que tem de ir até uma agência dos correios que aceite aquele tamanho de encomenda muito trabalhoso nunca mais,positivo
fiz comprar lannister d carteira paguei por carteira e p minha surpresa qd abrir caixa só tinha carteira obs nota fiscal veio constando q tinha sendo q só veio e agora como fi,negativo
negociantes assim não pode faltar no mercado,positivo
comprei duas cadeiras com o pé cromado porém vieram com os pés de plásticos,neutro
recomento entregaram antes do prazo,positivo
mando emai mais ninguém me responde não recebi meus produtos eu quero meu dinheiro de volta,negativo
cortina bonita e exatamente o que esperava,positivo
produto show de bola,positivo
o produto baixa qualidade comparado com o da propaganda,negativo
ótimo produto entrega antes do prazo previsto,positivo
o produto é de boa qualidade e foi entregue antes do prazo,positivo
paguei para ser em casa mas os correios não entregou mesmo tendo gente em casa h pois minha irmã esta operada e não ppde sair nem ficar sozinha em casa se não fosse meu caminho eu iria devolver,neutro
chegou muito antes do prazo limite parabéns a equipe,positivo
amei o relógio chegou no prazo e é lindo igual ao anunciado,positivo
era pra chegar dia chegou dia domingo,positivo
não gostei dos travesseiros achei que fossem bons não gostei mesmo,negativo
entrega antes do prazo super bem embalado,positivo
uma loja acolhedora e que entrega aquilo que foi proposto adorei,positivo
nao consigo dizer precisamente porque o fogao chegou para meu inquilino e nao tenho contaot com ele so atraves do corretor aparentemente ocorreu tudo ok,positivo
nao gostei do produto pois veio com detalhes no acabamento e com sinais que ja foram uzados,negativo
não enviaram o produto correto e ainda estou esperando a resposta de devolução,negativo
gostei do produto entregaram antes do prazo porém o microfone veio rachado na parte de baixo,positivo
o produto é totalmente diferente do que está sendo mostrado no site muito inferior,negativo
produto como o esperado apesar de chegar no prazo achei muito longo o tempo pra entrega,positivo
entrega antes do prazo e de acordo com o comprado,positivo
fiz ótima compra,positivo
a compra foi fácil de realizar e a entrega foi bem antes da data prevista,positivo
um parafuso veio com defeito tive que adaptar deveriam testar antes mas no geral produto ok,positivo
produto deve ter extraviado,negativo
embora não tenha recebido a mercadoria por não ter em estoque a devolução do valor pago foi muito rápida,positivo
estou achando que está demorando muito gostaria de saber porque ja passou do prazo aguardo tetorno,negativo
apesar da manifestação dos caminhoneiros o produto foi entregue a contento,positivo
os produtivos não foram entregues até o presente momento a expectativa de recebimento foi frustrada o valor foi debitado do cartão não recomendo a compra com esse fornecedor cuidado,negativo
o objeto não é igual ao mostrado no site,neutro
o pedido demorou vários dias para ser apenas faturado sob a justificativa de que cumpria o prazo elastecido que colocam cancelei o pedido e mesmo assim enviaram recusei a entrega não quero mais,negativo
comprei conjuntos veio apenas,negativo
realizei a compra na quantidade de porém recebi apenas e na nota fiscal a quantidade é de oque eu faço,negativo
o produto não chegou e agora esta dizendo no rastreio que estão aguardando estoque mas quando comprei dizia que tinha em estoque,negativo
pedi o cancelamento do produto no mesmo dia da compra e não fui atendido então ou a targaryen age de má fé ou tem funcionários incompetentes,negativo
estão de parabéns,positivo
o produto veio com defeito nos botões de ajuste,negativo
chegou bem antes do prazo,positivo
rapidaentrega e boa assistencia ao cliente,positivo
não recebi o produto ainda,negativo
no rastreamento esta q entregou o meu pedido ao destinatário mas nada chegou em minha casa ate o momento,negativo
demorou muito para enviar o produto conclusão ainda está no correio três dias após da data de entrega,negativo
eles não entrega péssima loja não recomendo quero meu dinheiro de volta,negativo
antes de comprar olhei uns videos no yt porque não conheço ninguém que usa esse pedal mas valeu muito a pena ótimo custo benefício e chegou dias antes do prazo estou muito satisfeito bóra dale,positivo
o relógio é lindo gostei muito em relação a embalagem veio muito bem protegido,positivo
cor do produto no anúncio é completamente diferente da cor do produto que recebi no anúncio é um marrom forte e o produto que recebi um marrom fraco muito diferente,negativo
caixa da mercadoria arranhada mesmo estando bem embalada pino do relógio desenroscado solto prazo preço feedback ok mas mercadoria não chegou,neutro
mto bom entregue dentro do prazo combinado,positivo
não entregaram meu produtoe já passou o prazo,negativo
material muito bom alta durabilidade já tive uma que durou mais de um ano e não fica com gosto dos suplementos recomendo,positivo
tudo aconteceu de forma favorável desde o início até a entrega,positivo
produto aind não foi entregue e já passou o prezo dado pela empresa,negativo
recebido no prazo,positivo
entrega super rápida,positivo
ótimo entrega rápida no prazo,positivo
comprei dois produtos chegou apenas um quero meu boné,neutro
recebi copos iguais indevidamente como faço para fazerem as trocas,negativo
se não tem estoque não poderia ter a opção de compra,negativo
produto chegou antes do prazo adorei,positivo
não dei mais estrelas pois ainda não instalei para ver se esta tudo certo mais é igual descrito,negativo
chegou intacto o porta escova não tem como vc abrir e limpar internamente é uma peça inteira tirando isso que não gostei atende minhas necessidades,positivo
meu pedido chegou antes do prazo e corretamente obrigado,positivo
muito bom chegou bem rápido relógio original da cassio,positivo
o anúncio não diz nada sobre ser v me lasquei,neutro
comprei duas unidades e recebi apenas,negativo
excelente loja eu recomendoa todos principalmente o vendedor nota mil recebi antes a mercadoria e muito gostei da responsabilidade e do proficioanal com o cliente digo várias vezes nota mil,positivo
obrigado vou recomendar mais pessoas material de primeiraparabens,negativo
produto entregue dentro do prazo e muito bem embalado,positivo
estudo foi ótimo não tenho reclamações perfeito obrigada,positivo
o produto no site aparece com as estampas mais bonitas as cores mais vivas quando você recebe o fundo da cortina não é branco e nem a estampa floral é tão bonita como aparece no site parece velha,negativo
mandou produto errado comprei com ilhoes prata e veio branco com costura se desfazendo agora vou ter que trocar os ilhoes pra ficar igual as outras não recomendado é não compro nada dela,negativo
comprei cartuchos e recebi apenas um no dia,negativo
o produto esteticamente é bonito a entrega foi antes do previsto mas a trava do cinto da cadeira é muito fraco a própria criança consegue abrir com a mão,neutro
o produto foi entregue antes do prazo prometido,positivo
a caçarola veio mas as bolinhas não,negativo
produto entregue dentro do prazo e sem problemas a qualidade do produto não é boa as camadas de espuma eva foram coladas desalinhadas com a concha externa de abs havendo sobra na parte frontal,neutro
houve atraso de dias em relação ao informado e não houve atualização da data,neutro
comprei dois produtos e só me entregaram o primeiro levou dias pra entregar hoje é dia e o prazo é dia então vemos que a loja não vai cumprir o prazo,negativo
mais uma vez quero parabenizar as lojas lannister pela rapidez e eficiência na entrega do produto,positivo
recebi o produto antes do prazo,positivo
lindo produto superou minhas expectativas ótimo acabamento,positivo
produto chegou bem antes do prazo muito bem embalado tudo certinho recomendo,positivo
o tecido do mosquiteiro é boa a qualidade e é lindo so o dossel que veio diferente da foto e veio sem os parafusos mais o material dele é bom mais compraria novamente sim estou pensando em persona,neutro
gostei muito do atendimento sempre que precisar comprarei com voces parabens a todos estao sempre enviando ofertas por e mail isto e muito importante para sabermos as ofertas produtos de otima qualid,positivo
o vendedor poderia especificar que o relógio se trata de uma réplica nem a embalagem me agradou,neutro
gostei muito muito do atendimento cumpriu tudo que prometeu,positivo
adorei a competência da empresa,positivo
o relógio é lindo demais e com uma ótima qualidade chegou bem antes do prazo,positivo
o produto é ótimo mas as cores diferenciaram das da propaganda do site porém gostei destas cores também,positivo
sugiro treinar melhor os atendentes via telefone pois embora a compra e a entrega tenham sido boas quem me atendeu para esclarecimentos via telefone quase pos tudo a perder,neutro
comprei duas luminárias iguais chegou uma caixa grande contendo somente uma luminária a nf descrevendo luminárias e o status de entrega como se tivesse entregado um trabalho danado resolver,negativo
parabéns chegou dentro do prazo e produto de qualidades,positivo
ótimo produto da marca casio mto fácil de manusear e configurar chegou embalado tudo certinho veio dentro do prazo mas considero o prazo é extenso,positivo
a compra foi equivocada por não haver descrição informando qtd de pipetas presentes na caixa e na imagem que se apresenta trata se de uma caixa que contém e foi comprado esperando porém só tem,negativo
gostei muito da manta de material excelente bonito acabamento preço e prazo excelentes chegou certinho como combinado super recomendo,positivo
entrega rápida por isso q gosto de comprar por o site,neutro
não foi entregue dentro do prazo prometido,positivo
não entregaram o meu produto,negativo
muito bom recomendo,positivo
dei nota baixa pois sao dois pedidos e o outro do aparelho celular veio faltando e até agora não recebi,negativo
site maravilhoso tanto no atendimento quanto na entrega muito satisfeito,positivo
embora tenha recebido corretamente acho que deveria ser mais rápido entre o pedido e entrega,neutro
adorei a rapidez o produto veio do jeito que pedi mas a película veio toda trincada não vou mandar de volta pq não vale a pena pagar o correio por conta do preço do produto,negativo
meu produto ainda não foi entregue pode ter sido por falta de gasolina no pais mas mesmo assim preciso de uma posição de vocês,negativo
ainda vou vê se chega a tempo marcado aguardando minha encomenda,negativo
fiquei dececionada o produto é bem diferente na foto é lindos ao vivo é bem fajuto eu não compro mas esses produtos vou ir na loja perdeu uma cliente propaganda enganosa,negativo
o produto ainda não foi entregue o prazo dado no ato da compra já expirou,negativo
produto de ótima qualidade,positivo
produto frágil usar com cuidado,positivo
atendeu a expectativa,positivo
fiz essa compra já tem quase um mês e até agora ainda não recebi meu pedido,negativo
tudo certo bom produto recomendo,positivo
deixem bem informado ao cliente que o produto nao esta disponivel no estoque pois vocês esperam o cliente fazer a compra e emitem nota fiscal de um produto que nao esta disponivel mais e nao avisam,negativo
estranhei o fato do produto ter sido entregue por outra empresa wg de souza no lugar de targaryen conforme anunciado no pedido,neutro
recebi muito antes do prazo o relógio é lindo,positivo
até o momento não recebi o produto,negativo
o produto chegou no prazo máximo para entrega mas veio em perfeitas condições,neutro
acho um desrespeito pediram pra buscar no correio cheguei lá o produto já não estava sondor de cabeça,negativo
produto correto e entrega super rápida,positivo
pedido chegou antes do previsto a postagem foi imediata e o produto de ótima qualidade parabéns pelo atendimento,positivo
produto excelente e entrega feita muiiiito antes do prazo,positivo
o dia da entrega estava agendado porém não recebi,negativo
a entrega foi muito rápida chegou antes do prazo esperado,positivo
o sino foi entregue antes do prazo ultrapassou minhas expectativas site de confiança o sino é muito bom grande ta p tocar com muita facilidade minha filha amou agradeço,positivo
bom produto com um bom preço,positivo
produto muito bem embalado em perfeito estado recomendo,positivo
anunciaram o produto no site depois de comprado e pagamento aprovado cancelaram porque não tinha em estoque,negativo
só um pouco estreito no bico mas no geral é muito bom,positivo
vou terminar de pagar a mercadoria e não recebi muito insatisfeito com a compra,negativo
amei comprar com vcs receber bem antes do prazo,positivo
o produto chegou antes do previsto em bom estado e correto parabéns linda a bíblia,positivo
produto recebido com riscos descrição do produto não condiz com a realidade,negativo
houve muita demora no envio do produto mais de dias para enviar o produto o que parece que a loja não tinha o produto em estoque ou foi descaso mesmo,neutro
tudo ocorreu bem,neutro
entrega super rápida,positivo
o produto foi entregue em perfeitas condições dentro do prazo fui respeitado em todo o processo de compra até a entrega,positivo
gostei da manta só deixa a desejar em relação ao aquecimento fraco e em um único ponto somente na cervical comprei pq se diferenciava das demais mantas mais em conta pelo aquecimento,positivo
até hoje não recebi o produto o que eu faço,negativo
produto adaquirido chegou muito antes do prazo,positivo
chegou tudo corretamente,positivo
a loja parceira da stark distribui um bom material e envia o produto no prazo entretanto os correios é que atrasam na entrega seria interessante mudar de transportadora,positivo
previsão para a entrega do produto até o dia hoje dia ainda não recebi,negativo
a película não encaixa não possui o formato do modelo xperia xa,negativo
no primeiro dia que utilizei o produto o mesmo já não funcionou,negativo
entrega rápida e o produto é excelente,positivo
cumpriu o esperado exceto pelo manual do produto vir em inglês e não passar de um pedaço de papel mal impresso como uma cópia reprográfica mal enquadrada em de folha a,positivo
mochila bonita e bem estilosa parece ser bem resistente envio foi bem rápido,positivo
ja pedi a devoluçao do produto mas ate a gora nao tive resposta da amaricanas,negativo
a foto estava errada o produto que comprei foi pela foto enviaram outro preciso trocar,negativo
vc paga um frete caro e não entregam na sua casa,negativo
produto maravilhoso me surpreendi,positivo
não consegui rastrear o produto pelo link dos correios mas chegou no prazo tudo ok,positivo
oi o produto não veio de acordo com o pedido veio de outra cor,negativo
comprei produtoa e so recebi gostaria de saber o que falta porque nao recebi,negativo
demora a entrega,negativo
o produto é de boa qualidade entrega mega rápida como sempre lannister cumprindo com o prometido recomendo a todos queira comprar,positivo
o produto é bom e foi entregue no prazo previsto,positivo
eu não fiquei satisfeita com a minha compra,negativo
o produto chegou dentro do prazo e em perfeitas condições,positivo
não recebi nenhuma satisfação que o prazo para entrega havia sido alterado,neutro
veio riscada botão quebrado fio descascado e o pior se é uma derretedeira de chocolate para lifar a temperatura tem que ser a partir de c e essa liga a partir de c isso queima não derrete,negativo
o produto foi entregue antecipado custo beneficio muito bom,positivo
gostei muito e entrega antes do previsto e sempre nos informando,positivo
produto excelente entrega rápida bem embalado,positivo
produto entregue antes da data recomendo,positivo
cortina ficou super linda no meu quarto e ainda quebra qualquer luz amei essa parte,positivo
chegou até antes da data adorei tudo inteiro em perfeito estadom obrigada,positivo
tudo correu bem com a loja e com a entrega mas o produto não funcionou vou devolver,negativo
produto exatamente igual ao anúncio porém levou quase dias após a compra para receber,positivo
o produto foi entregue dentro do prazo chegou do jeitinho que eu esperava e super bem embalado adorei,positivo
mercadoria entregue dentro do prazo estipulado,positivo
o vendendor so me vendeu um item o outro não sei quem foi e não foi entregue erro do site comprei dois intem paguei um único frete so olha na nf,negativo
to esperando até agora meu relógio mais dias cancelo a compra,negativo
que continue assim está ótimo obg,positivo
no site mostra um produto e entraga outro e não aceita que está errado nunca mais compro das lannister,negativo
só recebi produto mas comprei,negativo
rapido e eficiente,positivo
comprei duas unidades mas na embalagem veio apenas uma quero saber o que houve pois paguei dois e recebi apenas um,negativo
estou precisando do meu produto pois ja chegou meu berço preciso o quanto antes,positivo
é uma loja séria com produtos originais gostei muito parabéns,positivo
só achei um pouco demorado o prazo de entrega sugestão diminuir esse prazo,neutro
gostei do tempo de entrega,positivo
como sempre tudo dentro da proposta das lannister sem nenhuma inconformidade,positivo
recebi o produto que é bom mas no anuncio falava que viria o controle e o mesmo não chegou,positivo
muito bom gostei,positivo
ocorreu tudo certo com a compra,positivo
o produto cumpre totalmente com o que o fabricante promete o que me deixou insatisfeito foi o fato de não ter sido entregue pela targaryen chegou pelos correios com a caixa toda amassada sem proteção,positivo
já recebi ótima entrega é rápida que você continue assim,positivo
recebi em menos de semana,positivo
produto entregue antes do prazo,positivo
ainda não utilizei o produto mas comprei corretamente o mesmo,positivo
veio certinho como descrito,positivo
encomendei uma lona e recebi um ursinho e uma caneca cujo destinatário conforme nota fiscal seria ana maria pires queiroz já fiz duas notificações via site da loja e não recebi o retorno,negativo
cuidado com as compras nessa empresa targaryen trata se de empresa sem nenhuma credibilidade me sinto lesado enganado e arrependido lojas lannister espero que tome alguma providência urgentemente,negativo
produto preto reembalado na caixa de um branco muito amassado no fundo em um modo que qlr um perceberia não estabiliza caixa em perfeito estado foi amassado antes de ser entregue aos correios,negativo
excelente vendedor e produto,positivo
o pedido tem duas etapas uma foi entregue a outra não estou aguardando são fintas para impressora do computador grata por receber o produto e poder continuar prestigiando as lojas lannister,negativo
muito presente e correto vocês na vida do consumidor aguardando somente o kit colcha vermelha,positivo
a loja está de parabéns,positivo
ótima obrigado bom dia,positivo
logo em seguida que eu fiz o pedido que verifiquei que teria compro o produto errado solicitei o cancelamento o qual nao foi realizado eu expliquei o motivo falei da troca por outro produto,negativo
no prazo e produto com boa qualidade,positivo
a loja esta de parabens produto chegou antes do prazo tudo em ordem,positivo
o produto ainda não foi entregue conforme prazo informado pela empresa e até o presente momento não recebi nenhuma explicação é a primeira vez que acontece estou no aguardo do retorno loj americana,negativo
muito rápido gostei,positivo
ja reclamei varias vezes e ate hoje não sei onde foi parar o produto que comprei quero cancelar esta compra e quero meu dinheiro de volta,negativo
produto muito bom e di alta qualidade recomendo,positivo
gostei recebi o produto no prazo certo,positivo
produto chegou rápido e de acordo com a descrição já testei e funciona,positivo
produto chegou rapidinho e em perfeitas condições,positivo
recebi um produto diferente do qual eu pedi,negativo
recebi produto porém vou devolver por motivo de voltagem na minha região é v,neutro
já tinha um desses muito bom pode até colocar controle remoto que funciona perfeitamente,positivo
ótima loja e o brinquedo meu filho adoro,positivo
entregue bem antes do prazo altamente recomendável,positivo
amo comprar no stark os produtos são de qualidade e sempre chega antes do prazo,positivo
mais fotos do produto no site,positivo
otimo relogio mas gostariade saber se tem como diminuir a luminosidade,positivo
faz o que oferece por um preço acessível,positivo
entrega e produto ótimo,positivo
chegou muito antes do prazo quase dias antes produtos excelentes amei,positivo
produto lindo ótimo material muito feliz com minha compra,positivo
a entrega foi no prazo mas infelizemente não é melhor do que a das lojas lannister,neutro
a loja não respondeu minha pergunta e não recebi meu produto comprei na stark e não na targaryen,negativo
gostei porém diz que eh pra varao de metros e na vdd é menor,positivo
meu produto veio com defeito não esta funcionando,negativo
lindo o tapete adorei,positivo
primeira vez q compro e fiquei muito satisfeita,positivo
ajudou a solucionar um erro do comprador muito atencioso,positivo
não recebi o produto ao qual encomendei recebi outro que não era do meu menor interesse no local,negativo
gostaria de abrir protocolo sobre o não recebimento desse produto,negativo
o produto foi entregue correta e rapidamente já foi testado e aprovado sugiro reforçarem a estrutura plástica principalmente da torre da manivela para dar maior firmeza ao movimento obrigada,positivo
me surpreendeu chegou em uma semana está de parabéns porém fiz outra compra que ainda não chegou e não está dando opção de rastrear meu pedido mais foi em outro fornecedor vamos aguardar,positivo
recomendado pq e um produto bom,neutro
meu produto era para ter chegado ate dia mas ate hoje não recebi houve algum problema estou preocupada,positivo
muito bonito e bem embalado chegou antes do prazo amei,positivo
comprei duas unidades de uma garrafa em formato de vidro de caveira e só chegou uma,negativo
uma excelente ferramenta,positivo
deveria ser mais barato,positivo
muito bom o produto e chegou antes do prazo previsto vendedor muito atencioso com o cliente,positivo
venderam produto na qual não tinha no estoque e não me avisaram na qual tive que comprar em outro parceiro,negativo
ótima relação custo x benefício produto conforme o esperado o manual de instruções poderia ser disponibilizado em pdf pois é uma simples impressão a entrega demorou muito,positivo
superou as expectativas em todos os aspectos recomendo,positivo
não recebi o produto nem tenho notícias do mesmo,negativo
adorei desde o primeiro clique até o último fui notificada de todas as fases mega rápido,positivo
recebi os dois de cor errados já enviei de volta há uma semana e não tive mais notícias,negativo
não usei o produto ainda mas pareceu um pouco frágil,neutro
o tapete não é tao peludo quanto a foto ele é bem fino e os pelos bem baixos,neutro
recebi bem antes do prazo,positivo
não gostei de receber item por item já que se trata do mesmo produto preciso de comprei e vou receber separadamente péssimo,negativo
chegou no prazo correto o produto esperado,positivo
foi absurdo o que aconteceu estava constando peças em estoque fiz o pedido aprovou o pagamento deu o código de rastreamento fiz o agendamento com o mecânico para trocar a peça é cancelaram,negativo
mandam email informando problemas na entrega e solicitando cancelar ou não o pedido ao tentar cancelar informam que o produto foi entrgue dia não foi entregam dia,negativo
o piano veio com o botão de volume quebrado e desde o dia estou tentando trocar o piano e não consigo nunca mais compro no stark e nem dessa targaryen,negativo
produto como descrito satisfeitíssima com a compra,positivo
compra rápida produto conforme anunciado e entrega antes do prazo,positivo
o produto veio sem nenhuma proteção um plástico bolha um papelão veio sem nada e a encomenda veio do sul do país como chegaria ao rio de janeiro intacto impossível estou muito desapontada,negativo
produto muito bom e a entrega foi super rápida uma semana antes do prazo recomendo o vendedor,positivo
chegou antes do prazo é lindo um ótimo presente,positivo
veio uma amostra e não o tubo de base,negativo
sem palavra pra descrever,negativo
entrega no prazo bom produto,positivo
ótimo produto recomendo,positivo
nao recebi o produto,negativo
ja passou o prazo e não recebi o produto,negativo
meu problema foi com os correios o carteiro esqueceu ou não conseguiu entregar no dia e lançou como entregue porém entregou efetivamente só no dia seguinte lannister e loja parceira tudo top,positivo
até o momento não me dizem nada isso é péssimo p a americana trata o cliente pessimamente mal,negativo
o produto é realmente sensacional aprovada a compra minha filha amou,positivo
a empresa precisa fazer um estudo dos correios para onde vão a mercadoria ainda não recebi o produto pois o mesmo está preso desdo dia em um correio de reputação ruim,negativo
uma loja que só pensa em pegar o dinheiro do cliente mas não entrega mercadoria,negativo
foi entregue bem antes do prazo mas não foi o que eu esperava,negativo
entrega rápida e produto perfeito,positivo
comprei dois e recebi apenas um,negativo
produto não foi entregue,negativo
chegou antes do prazo previsto o produto é bonito,positivo
não gostei por que me mandaram a cor errada,negativo
não usei ainda mais super adorei entregou muito rapido,positivo
prazo de entrega amplo demais mas comprei sabendo disso produto entregue no tempo certo,positivo
toalhas super finas,negativo
não costumo fazer compras pelo site já fiz compras pelas lojas lannister por ser uma loja idônea deu super certo e eu fico feliz com isso,positivo
eficiente transferência e muita informação perfeita gostei muito e vou voltar a comprar em breve muito obrigado,positivo
ótimo produto pode compra que é seguro,positivo
entrega super rápida,positivo
comprei pulseiras mas chego apenas uma esto aguardando a outro diferença grande entre as entregas pensei que seria entrega as juntas,positivo
comprei unidades de omega mg e mim mandaro unidades de amora miura mg,negativo
já tinha um dele modelo de plástico e borracha agora neste material é um ótimo relógio ótimas funções recomendo,positivo
adorei chegou bem antes do prazo,positivo
indico a loja prático e rápido mesmo com o problema da greve dos caminhões,positivo
fixação excelente para qualquer tipo de cabelo,positivo
compro muito na lannister poderiam me dá uns descontos,positivo
produto entregue dentro do prazo,positivo
produto dentro das espectativas,positivo
produto chegou bem rápido porém quando conecta na tomada ele acende a luz porém quando conecta alguma coisa no adaptador a luz enfraquece e o aparelho não funciona,negativo
bom comprei de presente para meu pai que está acostumado a usar relógio orient automático não gostou pedi a devolução do produto,neutro
chegou sujo e com a tinta grudenta a fita de led já veio descolando e a fonte é enorme impossibilitando a instalação na parede não tem suporte para pendurar em parede nem apoiar em mesa péssimo,negativo
tudo ocorreu bem produto entregue no prazo recomendo,positivo
tudo de bom obrigado,positivo
bem organizado recomento,neutro
produto entregue no prazo atendeu minhas expectativas,positivo
péssimo sem qualidade material vagabundo horrível não vale nem reais totalmente pirata,negativo
entrega antes do prazo estipulado pena que tem uma travinha para a alça da mochila ficar levantada,positivo
os quadros são lindos,positivo
o produto é bom o detalhe vazado nas bordas é frágil mas tendo cuidado dá pra usar,positivo
gostei do produto recomendo estou satisfeita com o produto obrigada,positivo
jabpassou do prazo da entrega do produto é até hoje n recebi,negativo
satisfeita e recomendo,positivo
recomendo qualidade e entrega dentro do prazo,positivo
rapido e pratico,positivo
muito bom muito antes do prazo eu recebi a mercadoria breve comprarei mais produtos muito bom o comprometimento de vcs ao cliente meus parabéns,positivo
o produto chegou até antes do prazo dado muito bom,positivo
a vendedora targaryen poderia utilizar outras empresas para a logistica talvez uma transoortadora particular infelizmente os correios não é um distribuidor confiável,positivo
entega muito rápido gostei muito,positivo
comprei um bebedouro dia e me deram um prazo de até o dia para me entregar hj já são e não me entregaram não comprem nada vendido e entregue pela targaryen mando emails e não respondem,negativo
nao recomendo comprei uma cortina é veio só as varetas de colocar as cortinas,negativo
o produto possui péssima qualidade igual um tambor de reais vendido em lojas do centro ja a loja eh boa e entregou antes do prazo,negativo
gostei chegou rapidinho,positivo
informado que o produto chegaria até dia sendo que foi comprado no início de abril já é dia e nada do meu produto chegar,negativo
ótima entrega não demorou nada,positivo
novo lacrado otimo atendimento recomendo,positivo
chegou antes do prazo e ainda não pude utilizar todos os cabos mas já usei o da bmw e funcionou certinho,positivo
tudo conforme combinado,positivo
antes do esperado bem embalado amei com certeza farei outras compras,positivo
muito obg recomendo muito e serei um cliente muito presente estou satisfeitissima,positivo
não recebi o produto o site lannister informa que o produto foi entregue jé encaminhei um email e não recebi resposta meu pedido constitui em dois funko pops e só recebi um,negativo
produto entregue prazo,positivo
tudo ocorreu bem e era o que eu queria,positivo
excelente produto chegou antes do prazo,positivo
veio faltando uma das borrachinhas que ficam embaixo da base posso girar o timer sentido anti horário para desligar antes caso o alimento fique pronto em menos tempo do que coloquei,positivo
produto exatamente como o descrito entrega um pouco antes do prazo informado no site recomendo,positivo
capa muito bem feita com fecho frontal em velcro não tendo a necessidade de tirar a cada uso da máquina minha lavadora samsung e não lava e seca a capa ficou super adequada,positivo
infelizmente o produto não chegou até o momento estou aguardando alguma informação concreta das lannister ou do fornecedor quanto a esta situação por gentileza me dêem algum retorno,negativo
fiquei impressionado com o prazo de entrega com menos de oito dias para o prazo limite recebi o produto parabéns a logística trabalho de excelente qualidade,positivo
ate o momento minhas compras sempre chegaram mas até o momento ela está em belém e não chegou,positivo
produto entregue corretamente até antes do prazo estipulado,positivo
achei o frete muito caro mas a entrega foi eficiente,positivo
tudo certo conforme combinado produto bom recomendo a todos houve uma demora na entrega por motivo dos correios em greve,positivo
foi como eu esperava,positivo
chegou mais rápido que o previsto,positivo
para minha cama box conjugado o tamanho foi perfeito e o produto de muita qualidade,positivo
nunca comprei produtos pela internet essa foi a primeira vez e vou recomendar para os amigos e familiares muito grato,positivo
n veio produto beats phill mandaram na cor diferente q pedi e o produto veio com defeito n liga msm depois de carregar,negativo
comprei o jogo superking e veio o jogo padrão normal pequeno sequer tomaram o cuidado de ver o que despacharam é o pior a nf vei com a descrição do lençol super king falsidade ao fisco,negativo
produto entregue bem antes do prazo aqui no rj embalagem e tudo ok nos veremos em uma nova oportunidade de compra,positivo
poderia fechar mais rapido,positivo
só foi entregue apenas um produto a nota fiscal veio constando apenas um produto mas a compra foi de dois produtos,neutro
comprometimento com a data de entrega,positivo
ainda não recebi o produto foi comprado desde fevereiro o que houve com a entrega vai chegar ainda,negativo
pode ter ocorrido falha no sistema mas até a presente data meu produto não foi entregue embora conste o contrário no sistema de rastreamento,negativo
entrega feita no prazo,positivo
parceiro que vende no site que cumpriu o prazo pois ja tive problemas com outros e tive que reclamar pra ter meu dinheiro de volta,positivo
apesar de estar listado como disponível em estoque o produto não estava disponível,negativo
recebi parte do pedido comprei cartuchos mas recebi somente já enviei uma mensagem por favor poderiam verificar onde foi parar o outro cartucho obrigada,neutro
produto chegou em perfeitas condições bem antes do prazo recomendo,positivo
um dos produtos foi entregue em cor diferente do solicitado o vendedor deveria informar ao cliente a troca antes de enviar o produto,negativo
a cadeira veio muito arranhada,neutro
comprei cartuchos achando que eram do mesmo fornecedor por fim paguei fretes desnecessários pois cartuchos foram enviados separadamente em datas diferentes não gostei,neutro
super indico espremedor potente e lindo,positivo
não entregou no prazo por isso a avaliação ruim ainda não recebi o produto,negativo
ate momento não recebi o produto aguardo retorno fornecedor,negativo
entrega rápida exatamente o produto que comprei e com um brinde obrigado,positivo
bom produto com um bom preço mas demorou pra postar a mercadoria nos correios dias vencendo assim o prazo de entregra que era para o dia deve levar mais mais dias pra chegar ainda,negativo
conforme combinado e no prazo estabelecido,positivo
não posso avaliar pois ainda não recebi,negativo
compro sempre e recomendo baratheon,positivo
ótimo produto entregue antes do prazo,positivo
lannister com sempre com bom preço produtos de qualidade e entrega no prazo,positivo
gostei muito logo vou adquirir o preto tbm,positivo
entregou antes do prazo previsto e não foi o primeiro produto e com certeza não será o último,positivo
show de relógio modelo muito bonito com preço excelente entrega antes do prazo recomendo,positivo
o produto superou minhas expectativas,positivo
esse parceiro e a lannister com estão de parabens,positivo
estou muito satisfeita com a compra e entrega nota,positivo
so veio com uma aranhão em cima mas tudo bem estava necessitando do produto,positivo
entrega rápida produto de qualidade tudo lindo como esperado,positivo
o produto chegou rápido e correto recomendo,positivo
